State,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014",Location
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}"
Delaware,3.8,5.2,,,,11.7,4.0,4.6,6.6,7.4,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Delaware"",""zip"":""""}', 'latitude': '39.00883389200004', 'needs_recoding': False, 'longitude': '-75.57773597599999'}"
District of Columbia,,,,,,,,,,,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""District of Columbia"",""zip"":""""}', 'latitude': '38.89037258400003', 'needs_recoding': False, 'longitude': '-77.03195678499998'}"
Maryland,2.7,2.2,1.6,,5.8,5.4,2.2,1.8,4.1,3.5,1.4,0.9,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Maryland"",""zip"":""""}', 'latitude': '39.290582950000044', 'needs_recoding': False, 'longitude': '-76.60925984299996'}"
Pennsylvania,3.3,2.7,1.4,0.7,7.2,5.5,2.8,2.7,5.4,4.4,1.3,1.1,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Pennsylvania"",""zip"":""""}', 'latitude': '40.79373362300004', 'needs_recoding': False, 'longitude': '-77.86069690799997'}"
Virginia,2.5,2.5,1.2,1.2,4.5,5.1,2.6,2.3,4.1,3.9,0.9,1.2,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Virginia"",""zip"":""""}', 'latitude': '37.542680705000066', 'needs_recoding': False, 'longitude': '-78.45788932099998'}"
West Virginia,5.6,4.7,,,12.9,10,4.4,4,9.3,7.1,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""West Virginia"",""zip"":""""}', 'latitude': '38.66551127300005', 'needs_recoding': False, 'longitude': '-80.71263755899997'}"
