State,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014",Location
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}"
Arizona,3.6,3,1.6,,6.9,5.5,3.3,3.1,5.4,4.5,1.7,1.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Arizona"",""zip"":""""}', 'latitude': '34.86597351900008', 'needs_recoding': False, 'longitude': '-111.76380664699997'}"
California,2.0,2.2,0.9,1,4.5,4.6,1.8,2,3.2,3.4,1.0,1.1,"{'human_address': '{""address"":"""",""city"":"""",""state"":""California"",""zip"":""""}', 'latitude': '37.63864210000003', 'needs_recoding': False, 'longitude': '-120.99999644699994'}"
Hawaii,3.8,2.2,,,,,3.2,,5.7,3.6,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Hawaii"",""zip"":""""}', 'latitude': '21.30485232600006', 'needs_recoding': False, 'longitude': '-157.85774798099996'}"
Nevada,2.8,3.3,,,4.6,6.4,3.2,2.7,4.2,4.9,1.4,1.7,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Nevada"",""zip"":""""}', 'latitude': '39.49324221300003', 'needs_recoding': False, 'longitude': '-117.07183885899997'}"
