State,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014",Location
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}"
Connecticut,2.4,2.7,,,5.9,6.1,2.1,2.5,3.7,4.6,1.1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Connecticut"",""zip"":""""}', 'latitude': '41.56266070000004', 'needs_recoding': False, 'longitude': '-72.64983977999998'}"
Maine,3.8,3.3,,,,,2.8,3.1,6.6,5.1,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Maine"",""zip"":""""}', 'latitude': '45.25422910300006', 'needs_recoding': False, 'longitude': '-68.98502586699993'}"
Massachusetts,1.8,1.9,,,3.3,4,1.7,1.8,2.7,3.1,0.9,0.9,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Massachusetts"",""zip"":""""}', 'latitude': '42.27687400000008', 'needs_recoding': False, 'longitude': '-72.08268726299997'}"
New Hampshire,2.4,2.4,,,,,2.9,,4.1,3.2,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""New Hampshire"",""zip"":""""}', 'latitude': '43.65595283500005', 'needs_recoding': False, 'longitude': '-71.50035697299995'}"
Rhode Island,2.3,,,,,,,,,,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Rhode Island"",""zip"":""""}', 'latitude': '41.70828106100004', 'needs_recoding': False, 'longitude': '-71.52246566099996'}"
Vermont,3.4,,,,,,,,,,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Vermont"",""zip"":""""}', 'latitude': '43.62538389600007', 'needs_recoding': False, 'longitude': '-72.51763667599994'}"
