State,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014",Location
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}"
Alaska,,2.8,,,,,,,,,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Alaska"",""zip"":""""}', 'latitude': '64.84507799500005', 'needs_recoding': False, 'longitude': '-147.72205958799998'}"
Idaho,3.6,3.3,,,8.7,,2.7,3,5.8,4.8,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Idaho"",""zip"":""""}', 'latitude': '43.68263174800006', 'needs_recoding': False, 'longitude': '-114.36372693399994'}"
Oregon,2.2,2.5,,,5.2,4.2,1.8,2.6,3.1,3.7,1.3,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Oregon"",""zip"":""""}', 'latitude': '44.56745049300008', 'needs_recoding': False, 'longitude': '-120.15502935599994'}"
Washington,2.1,1.9,,,4.0,3.4,2.0,1.9,3.6,2.9,0.7,0.9,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Washington"",""zip"":""""}', 'latitude': '47.52228790000004', 'needs_recoding': False, 'longitude': '-120.47002813699999'}"
