State,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014",Location
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}"
New Jersey,1.8,1.8,,,4.6,3.6,1.4,1.7,2.9,2.9,0.9,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""New Jersey"",""zip"":""""}', 'latitude': '40.130570807000026', 'needs_recoding': False, 'longitude': '-74.27368796999997'}"
New York,1.7,1.6,0.6,0.7,3.3,3,1.7,1.5,2.7,2.4,0.8,0.8,"{'human_address': '{""address"":"""",""city"":"""",""state"":""New York"",""zip"":""""}', 'latitude': '42.82700376100007', 'needs_recoding': False, 'longitude': '-75.54396609999998'}"
