State,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014",Location
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}"
Arkansas,5.1,4.6,,,10.5,6.3,4.3,5.4,8.1,7.2,2.2,2.2,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Arkansas"",""zip"":""""}', 'latitude': '34.74865032200006', 'needs_recoding': False, 'longitude': '-92.27448966799994'}"
Louisiana,5.2,5.4,2.8,1.8,8.6,9.4,5.1,5.7,8.3,9.1,2.4,1.9,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Louisiana"",""zip"":""""}', 'latitude': '31.312663324000027', 'needs_recoding': False, 'longitude': '-92.44567750499994'}"
New Mexico,4.8,5.7,,,9.1,11.2,4.5,5.1,6.9,8.6,2.9,2.8,"{'human_address': '{""address"":"""",""city"":"""",""state"":""New Mexico"",""zip"":""""}', 'latitude': '34.52088149400004', 'needs_recoding': False, 'longitude': '-106.24057817299996'}"
Oklahoma,5.6,4,,,10.5,7.4,5.8,3.9,9.3,6,1.9,2.1,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Oklahoma"",""zip"":""""}', 'latitude': '35.472030747000076', 'needs_recoding': False, 'longitude': '-97.52106835299998'}"
Texas,4.9,5.4,2.1,2.3,10.0,10,4.7,5.3,7.6,8.1,2.4,2.7,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Texas"",""zip"":""""}', 'latitude': '31.827240467000024', 'needs_recoding': False, 'longitude': '-99.42676785299994'}"
