State,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014",Location
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}"
Colorado,2.5,3,,1.7,5.6,5.6,2.0,2.6,3.9,4.6,1.1,1.3,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Colorado"",""zip"":""""}', 'latitude': '38.84384342200008', 'needs_recoding': False, 'longitude': '-106.13360911499996'}"
Montana,9.4,7.3,,,21.4,15.4,7.2,6.9,14.9,10.2,4.0,4.3,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Montana"",""zip"":""""}', 'latitude': '47.06652795700006', 'needs_recoding': False, 'longitude': '-109.42441587999997'}"
North Dakota,11.3,7.2,,,15.3,15.2,12.0,6.1,17.4,10.7,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""North Dakota"",""zip"":""""}', 'latitude': '47.475318609000055', 'needs_recoding': False, 'longitude': '-100.11842789099995'}"
South Dakota,5.7,5.6,,,,,,6.2,7.4,8.7,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""South Dakota"",""zip"":""""}', 'latitude': '44.35313004200003', 'needs_recoding': False, 'longitude': '-100.37352915599996'}"
Utah,1.2,2,,,,,1.9,2.3,1.7,3,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Utah"",""zip"":""""}', 'latitude': '39.36070123200005', 'needs_recoding': False, 'longitude': '-111.58712831499997'}"
Wyoming,7.1,8.2,,,17.3,,,8.1,11.3,13.1,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Wyoming"",""zip"":""""}', 'latitude': '43.23554100600006', 'needs_recoding': False, 'longitude': '-108.10982701399996'}"
