State ,Location,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014"
North Carolina,"{'human_address': '{""address"":""North Carolina"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '35.466220159000045', 'needs_recoding': False, 'longitude': '-79.15924997399998'}",4.2,3.8,1.7,1.4,8,7.7,4,3.6,6.8,6.3,1.7,1.5
North Dakota,"{'human_address': '{""address"":""North Dakota"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '47.475318609000055', 'needs_recoding': False, 'longitude': '-100.11842789099995'}",11.3,7.2,,,15.3,15.2,12,6.1,17.399999999999999,10.7,,
Ohio,"{'human_address': '{""address"":""Ohio"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.060212455000055', 'needs_recoding': False, 'longitude': '-82.40425667899996'}",3.5,2.7,1.2,0.8,6.8,5.6,3.3,2.6,5.5,4.2,1.6,1.3
Oklahoma,"{'human_address': '{""address"":""Oklahoma"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '35.472030747000076', 'needs_recoding': False, 'longitude': '-97.52106835299998'}",5.6,4.0,,,10.5,7.4,5.8,3.9,9.3000000000000007,6.0,1.9,2.1
Oregon,"{'human_address': '{""address"":""Oregon"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '44.56745049300008', 'needs_recoding': False, 'longitude': '-120.15502935599994'}",2.2000000000000002,2.5,,,5.2,4.2,1.8,2.6,3.1,3.7,1.3,1.4
Pennsylvania,"{'human_address': '{""address"":""Pennsylvania"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.79373362300004', 'needs_recoding': False, 'longitude': '-77.86069690799997'}",3.3,2.7,1.4,0.7,7.2,5.5,2.8,2.7,5.4,4.4,1.3,1.1
Rhode Island,"{'human_address': '{""address"":""Rhode Island"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.70828106100004', 'needs_recoding': False, 'longitude': '-71.52246566099996'}",2.2999999999999998,,,,,,,,,,,
South Carolina,"{'human_address': '{""address"":""South Carolina"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '33.99882216300006', 'needs_recoding': False, 'longitude': '-81.04536596899999'}",7.6,5.8,2.8,2.0,14.2,12.4,7.6,5.3,12.3,9.0,3.2,2.9
South Dakota,"{'human_address': '{""address"":""South Dakota"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '44.35313004200003', 'needs_recoding': False, 'longitude': '-100.37352915599996'}",5.7,5.6,,,,,,6.2,7.4,8.7,,
Tennessee,"{'human_address': '{""address"":""Tennessee"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '35.68094072700006', 'needs_recoding': False, 'longitude': '-85.77448666899994'}",4.5999999999999996,4.1,1.6,,8,8.2,4.9000000000000004,4.1,7.5,6.8,1.8,1.5
Texas,"{'human_address': '{""address"":""Texas"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '31.827240467000024', 'needs_recoding': False, 'longitude': '-99.42676785299994'}",4.9000000000000004,5.4,2.1,2.3,10,10.0,4.7,5.3,7.6,8.1,2.4,2.7
Utah,"{'human_address': '{""address"":""Utah"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '39.36070123200005', 'needs_recoding': False, 'longitude': '-111.58712831499997'}",1.2,2.0,,,,,1.9,2.3,1.7,3.0,,
Vermont,"{'human_address': '{""address"":""Vermont"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '43.62538389600007', 'needs_recoding': False, 'longitude': '-72.51763667599994'}",3.4,,,,,,,,,,,
Virginia,"{'human_address': '{""address"":""Virginia"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '37.542680705000066', 'needs_recoding': False, 'longitude': '-78.45788932099998'}",2.5,2.5,1.2,1.2,4.5,5.1,2.6,2.3,4.0999999999999996,3.9,0.9,1.2
Washington,"{'human_address': '{""address"":""Washington"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '47.52228790000004', 'needs_recoding': False, 'longitude': '-120.47002813699999'}",2.1,1.9,,,4,3.4,2,1.9,3.6,2.9,0.7,0.9
West Virginia,"{'human_address': '{""address"":"""",""city"":""West"",""state"":""Virginia"",""zip"":""""}', 'latitude': '38.66551127300005', 'needs_recoding': False, 'longitude': '-80.71263755899997'}",5.6,4.7,,,12.9,10.0,4.4000000000000004,4.0,9.3000000000000007,7.1,,
Wisconsin,"{'human_address': '{""address"":""Wisconsin"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '44.39319064600005', 'needs_recoding': False, 'longitude': '-89.81636640199997'}",3.6,2.9,1.6,,6.5,7.5,3.5,2.3,5.6,4.8,1.6,1.2
Wyoming,"{'human_address': '{""address"":""Wyoming"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '43.23554100600006', 'needs_recoding': False, 'longitude': '-108.10982701399996'}",7.1,8.2,,,17.3,,,8.1,11.3,13.1,,
