State,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014",Location
United States,3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}"
Iowa,3.2,3,,,5.9,4.6,2.9,3.4,5.1,4.8,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Iowa"",""zip"":""""}', 'latitude': '42.469401411000035', 'needs_recoding': False, 'longitude': '-93.81648725599996'}"
Kansas,3.4,3.6,2.3,,6.0,7.4,3.0,3.3,6.0,5.8,,1.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Kansas"",""zip"":""""}', 'latitude': '38.347742794000055', 'needs_recoding': False, 'longitude': '-98.20077822999997'}"
Missouri,4.8,3.4,1.9,,9.5,6.9,4.4,3.2,7.8,5.6,1.8,1.3,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Missouri"",""zip"":""""}', 'latitude': '38.63579147100006', 'needs_recoding': False, 'longitude': '-92.56629944499997'}"
Nebraska,4.0,3.3,,,6.5,7,3.5,3,6.4,5,,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Nebraska"",""zip"":""""}', 'latitude': '41.64104362100005', 'needs_recoding': False, 'longitude': '-99.36571888999998'}"
